source,occurences 
Bing,23805
Landsat;WRI,6975
bing,5032
survey:PFE(IT3) ENSTP Yaounde 2010,3357
MINTP CTIN - R̩f̩rentiel Routier du Cameroun 2014,3172
survey:PFE(IT3) ENSTP Yaounde,2943
WRI;DIAF;Africover,1601
CIRAD;Landsat,1453
GPS,1289
Bing 2012,734
Microsoft Bing satellite imagery 2012,563
WRI,384
WRI;DIAF;Soci̩t̩ Trans M,375
bing aerial imagery,370
IPIS,363
WRI;DIAF,268
"Orbview-3, NASA/USGS",224
survey,181
MINTP CTIN - R̩f̩rentiel G̩ographique Routier du Cameroun 2014,174
Mapbox,145
landsat,144
Bing Sat,132
BING AERIAL IMAGERY,125
vmap1,104
"OrbView-3, USGS, 2006-02-20",100
WorldView1,86
bing satellite image 2014,85
Bing (2012-11),82
survey TSF Cameroun 2014,73
Bing_imagery,68
Digital Globe Maps API,66
Yahoo,64
Landsat,60
"Bing,UNICEF",58
suvery,57
MapBox Satellite,55
BING,55
Bing Imagery,53
Teledetection,53
Bing/HotOSM,51
survery,49
"Bing, survey",48
MapBox,47
gps,38
Bing;Mapbox,34
GPS Traces,32
http://www.egvistas.com/,30
Microsoft Bing orbital imagery 2013,30
bING,29
worldview1,29
Bing (2011-2012),27
NextView,21
Bing;2012,21
Mapbox/DigitalGlobe,19
"Bing 2012, HotOSM",19
Africover,18
inferred,18
mapbox,17
Bing Aerial Image,17
Mapbox Satellite,16
GPS trace,15
Bing Hires Aerial Image,15
JOG,14
"MSF, GPS survey",14
bing satellite image 2015,13
DIA US 1966,13
Bing aerial imagery,13
Survey TSF Cameroun 2014,13
"Bing, GPS survey",12
strava slide,11
Bing (2012-07),11
GPS survey,11
source=Bing,10
DigitalGlobe�۪s WorldView-2,9
bing;survey,9
Digital Globe Maps API;CIRAD,8
Bing;survey,8
own GPS survey (Garmin Evrex Vista Hcx),8
Minist̬re Travaux Publics,8
LandSat,8
GPS survey / MSF,8
own GPS survey tracks,8
BIng,8
Bing 2011,7
www.rgc.cd;survey,7
bing_imagery,7
cadastre-dgi-fr source : Direction G̩n̩rale des Imp̫ts - Cadastre. Mise �� jour : 2013,7
DG +Vivid,6
UN JLC,6
Bing;WRI,6
"Nextview, WV1",6
Landsat 8 Imagery,6
Mapbox Imagery,6
"WorldView-1, DigitalGlobe, NextView",5
own GPS track,5
GPS trace;CIRAD,5
Bing Hires Image,5
HRW,5
interpolated,5
Survey,5
Bing_imgaery,5
"WorldView-2, 16 January 2014",4
Mapbox satellite,4
Microsoft Bing orbital imagery,4
"WRI,Bing",4
landsat;bing,4
sobzeros,4
local knowledge,4
Google;Bing,4
"MapBox/DigitalGlobe, 03/15/2014",4
inference,4
Bing;CIRAD,4
Bing;bing,4
"HotOSM, Bing and UNICEF",4
MINTP CTIN + Mapbox,4
MINTP CTIN - R̩f̩rentiel Routier du Cameroun 2014;GPS,4
source=WorldView1,4
"Bing Sat, MapBox Satellite",4
PFE (ITE3) ENSTP Yaound̩ - 2010,4
WRI;Bing,4
Landsat;DigitalGlobe/Mapbox,4
Digital Globe Maps API;CIRAD;Landsat,3
MapBox/DigitalGlobe,3
Army Topo Map,3
Bing; survey,3
Imagery + GPS,3
MinTP,3
bing/mapbox,2
bing 2012,2
Mapbox orbital imagery,2
orthophoto,2
Bing imagery,2
b,2
gps track,2
www.rgc.cd,2
Geocameroun,2
extrapolation,2
"bing,",2
landsat & Bing,2
"Bing,WRI",2
Yahoo satellite 2011,2
Mapillary,2
"Bing, LandSat res",2
Bing Hires Aerial Image;CIRAD,2
gps tracks / survey,2
"Bing, 27/11/2011",2
mapbox imagery,2
extrapolated because of cloud cover,1
Nouvelle route sur rampe vue en 2013,1
MINTP CTIN - R̩f̩rentiel Routier du Cameroun 2014 + Bing,1
DigitalGlobe,1
Numerisation,1
gps survey,1
path,1
Satellite Image,1
bing;WorldView1,1
"bing, GPS",1
Bng,1
www.rgc.cd;JOG,1
MINTP CTIN - R̩f̩rentiel Routier du Cameroun 2014;landsat,1
Bing;GPS,1
<different>bing,1
Bing;Bing_imagery,1
BIng imagery,1
GPS et MinTP,1
Bing satellite 2011,1
Bing LowRes,1
"Orbview-3, NASA/USGS;OrbView-3, USGS, 2006-02-20",1
cadastre-dgi-fr source : Direction G̩n̩rale des Imp̫ts - Cadastre. Mise �� jour : 2012,1
Personnal knowlege,1
Bing; WRI,1
bing;mapbox,1
interpolated.,1
"bing, survey",1
Landsat (sketched),1
GPS + Mapbox imagery,1
GPS + Bing,1
extraction vectorielle v1 cadastre-dgi-fr source : Direction G̩n̩rale des Imp̫ts - Cadas. Mise �� jour : 2010,1
Terrain,1
Bing / Gps tracks,1
"MapBox Satellite, Bing",1
Used with permission. http://www.egvistas.com/,1
Landast 8,1
http://www.sozoala.com/galeries/Bangui/Bangui.htm,1
"WRI,Bing Low Res",1
bing 2011,1
No source,1
UN OCHA,1
GPS + Microsoft Bing satellite imagery 2012,1
landsat imagery,1
interpolated due to cloud cover.,1
website,1
Landsat 2014,1
MSF,1
Mapbox;Bing,1
TSF 2012 Cameroun ENSTP,1
survery et minist̬re TP,1
MEADEN,1
vmap1; bing,1
"MapBox Satellite, GPS",1
BING;BING AERIAL IMAGERY,1
"Bing,2011-08-22",1
Bing + WorldView 1,1
clouded,1
Bing lores,1
landsat;Bing,1
