start_date,occurences
before 2000,2397
before 2008,875
2010,650
2014,535
before 2004,333
2006,314
before 2006,295
2012,225
before 2012,223
before 2007,194
2008,183
2002,179
before 2001-02-14,177
2001,160
2011,160
2007,158
2013,156
before 1999-12-08,130
before 2001-04-26,117
before 2014,113
2005,111
2009,110
after 2013,103
1986,98
before 2003,94
before 2009-03-26,81
2003,80
2004,77
before 2012-08-22,69
2000,58
before 2001-03-18,52
before 2007-03-10,51
before 2000-03-24,49
1990,48
befor 2000,46
before 2002-12-27,45
before 2002-01-16,44
before 2008-05-10,43
1998,39
before 2001-02-07,38
1994,37
before 2000-12-14,33
before 2006-01-26,33
before 2009-11-21,32
before 2008-02-16,30
before 2013-06-19,26
before 2000-03-01,24
before 2013,22
before 2001-10-19,22
before 2013-03-28,21
before 2007-01-21,19
before 2013-06-25,19
before 2010,18
before 2001-12-31,16
before 1970,15
before 2006-02-24,11
before 2002-01-02,11
before 2005,10
before 2008-02-18,9
before 2001-02-05,9
before 2007-03-12,9
before 2006-02-26,9
before 2000-12-10,9
before 2002-01-25,9
before 2001-05-07,8
before 2003-01-05,7
before 2009,7
before 1980,6
befor 1970,6
before 2007-12-23,6
Before 2000,5
before 2002,5
before 2005-02-09,5
before 2007-12-27,5
before 2002-02-01,5
before 2000-03-26,4
before 2003-02-27,4
before 2012-08-15,4
before 2002-05-15,3
before 2012-08-21,3
before 2006-12-20,3
before 2009-12-30,3
before 2002-01-30,2
before 2006-01-18,2
beforer 2000,2
before 2004;2002,2
before 2011,2
before 2004-02-07,2
before 2002-03-30,1
before,1
before 2006-12-29,1
before 2002-04-01,1
before 2006-12-06,1
20014,1
before 2001,1
before_2000,1
before 2013-06-28,1
before 2007-04-22,1
before 2013-03-26,1
befor 1980,1
2006-2013,1
before1970,1
